gate length,Theta,Phi,dt,combination,total time,computing time,Case
0,9.84e-05,2.334113484,2.6,[],0.0,0.001998901,
0,0.00044984,6.093487824,2.6,[],0.0,0.015646219,
0,0.00046638,2.599058342,2.6,[],0.0,0.0,
0,0.000615702,1.696876343,2.6,[],0.0,0.0,
0,0.000901852,0.279935164,2.6,[],0.0,0.002997398,
0,0.000970747,3.170579813,2.6,[],0.0,0.001028061,
0,0.001453277,2.050107085,2.6,[],0.0,0.0,
0,0.001498369,3.498069108,2.6,[],0.0,0.002999783,
0,0.001515831,5.621782358,2.6,[],0.0,0.010504723,
0,0.001986832,2.445605514,2.6,[],0.0,0.0,
0,0.002116701,4.455933165,2.6,[],0.0,0.002998829,
0,0.002133273,3.149331979,2.6,[],0.0,0.015842676,
0,0.002612677,0.884458597,2.6,[],0.0,0.0,
0,0.002753437,4.495674302,2.6,[],0.0,0.0,
0,0.00295924,2.24922141,2.6,[],0.0,0.00202107,
0,0.002964641,2.756926032,2.6,[],0.0,0.0,
0,0.003162747,1.431055157,2.6,[],0.0,0.0,
0,0.00387013,5.73093307,2.6,[],0.0,0.00201631,
0,0.004182446,1.280314158,2.6,[],0.0,0.003000736,
0,0.004399571,4.436745408,2.6,[],0.0,0.0,
0,0.004542455,1.638642868,2.6,[],0.0,0.001997709,
0,0.004682012,2.94266362,2.6,[],0.0,0.0,
0,0.00476856,2.755963249,2.6,[],0.0,0.0,
0,0.004902639,2.497470117,2.6,[],0.0,0.002000093,
0,0.005054057,1.50282356,2.6,[],0.0,0.0,
0,0.005211845,0.873563242,2.6,[],0.0,0.0,
0,0.005236202,4.024029923,2.6,[],0.0,0.002029181,
0,0.005592444,3.133114093,2.6,[],0.0,0.0,
0,0.00585309,0.93429921,2.6,[],0.0,0.00200629,
0,0.005878168,4.085371717,2.6,[],0.0,0.003001213,
0,0.006158597,4.160397524,2.6,[],0.0,0.002000093,
0,0.006383816,6.088936353,2.6,[],0.0,0.0,
0,0.006516118,1.656122786,2.6,[],0.0,0.0,
0,0.006584057,4.045460772,2.6,[],0.0,0.0,
0,0.006620614,5.990005032,2.6,[],0.0,0.003735304,
0,0.006628292,6.03018242,2.6,[],0.0,0.0,
0,0.006635828,3.772231798,2.6,[],0.0,0.0,
0,0.006645756,2.58882479,2.6,[],0.0,0.0,
0,0.006757515,5.438212383,2.6,[],0.0,0.002999783,
0,0.007002594,5.02165135,2.6,[],0.0,0.001998663,
0,0.007079753,2.163700004,2.6,[],0.0,0.002001047,
0,0.007321,0.76589481,2.6,[],0.0,0.00202656,
0,0.007329098,2.583446999,2.6,[],0.0,0.0,
0,0.007429444,6.207800194,2.6,[],0.0,0.0,
0,0.007563216,2.878858673,2.6,[],0.0,0.003000259,
0,0.007590774,1.435543485,2.6,[],0.0,0.0,
0,0.007595523,5.100833714,2.6,[],0.0,0.001020193,
0,0.00782655,4.7448029,2.6,[],0.0,0.0019989,
0,0.007955589,2.16523654,2.6,[],0.0,0.002018452,
0,0.008108783,4.337680342,2.6,[],0.0,0.002001047,
0,0.008135711,3.75372053,2.6,[],0.0,0.002024174,
0,0.008152358,0.294783072,2.6,[],0.0,0.003000736,
0,0.008395321,3.685724771,2.6,[],0.0,0.0,
0,0.008499935,1.571110548,2.6,[],0.0,0.0,
