CFI = 2.32619 Paras = ['0.68816638', '1.09274888', '3.19512773', '1.09274888', '0.22620182', '2.86869597']
CFI = 2.32619 Paras = ['0.68816358', '1.10275376', '3.20513320', '1.10275376', '0.22620109', '2.86869025']
CFI = 2.32619 Paras = ['0.68816662', '1.11275399', '3.21513295', '1.11275399', '0.22620191', '2.86869645']
CFI = 2.32619 Paras = ['0.68816352', '1.12275398', '3.22513342', '1.12275398', '0.22620162', '2.86868978']
CFI = 2.32619 Paras = ['0.68816715', '1.13266397', '3.23504138', '1.13266397', '0.22619902', '2.86869717']
CFI = 2.32619 Paras = ['0.68816358', '1.14274967', '3.24512863', '1.14274979', '0.22620137', '2.86869001']
CFI = 2.32619 Paras = ['0.68816698', '1.15269506', '3.25507331', '1.15269518', '0.22620010', '2.86869669']
CFI = 2.32619 Paras = ['0.68816394', '1.16274107', '3.26512003', '1.16274095', '0.22620049', '2.86869073']
CFI = 2.32619 Paras = ['0.68816662', '1.17275321', '3.27513242', '1.17275345', '0.22620200', '2.86869669']
CFI = 2.32619 Paras = ['0.68816376', '1.18272197', '3.28510046', '1.18272197', '0.22620377', '2.86869049']
CFI = 2.32619 Paras = ['0.68816608', '1.19275057', '3.29512954', '1.19275057', '0.22620152', '2.86869526']
CFI = 2.32619 Paras = ['0.68816376', '1.20266020', '3.30503702', '1.20266020', '0.22620280', '2.86869049']
CFI = 2.32619 Paras = ['0.68816644', '1.21274936', '3.31512833', '1.21274948', '0.22620296', '2.86869621']
CFI = 2.32619 Paras = ['0.68816358', '1.22271204', '3.32509065', '1.22271204', '0.22619933', '2.86869001']
CFI = 2.32619 Paras = ['0.68816656', '1.23275185', '3.33513093', '1.23275185', '0.22620149', '2.86869645']
CFI = 2.32619 Paras = ['0.68816346', '1.24267519', '3.34505248', '1.24267519', '0.22620167', '2.86868954']
CFI = 2.32619 Paras = ['0.68816715', '1.25263143', '3.35500717', '1.25263143', '0.22620261', '2.86869788']
CFI = 2.32619 Paras = ['0.68816358', '1.26272166', '3.36510015', '1.26272178', '0.22620210', '2.86869001']
CFI = 2.32619 Paras = ['0.68816680', '1.27269900', '3.37507606', '1.27269912', '0.22620404', '2.86869717']
CFI = 2.32619 Paras = ['0.68816382', '1.28267241', '3.38504934', '1.28267241', '0.22620237', '2.86869049']
CFI = 2.32619 Paras = ['0.68816686', '1.29275048', '3.39512920', '1.29275048', '0.22620057', '2.86869693']
CFI = 2.32619 Paras = ['0.68816358', '1.30271709', '3.40509534', '1.30271709', '0.22620255', '2.86869001']
CFI = 2.32619 Paras = ['0.68816686', '1.31268227', '3.41505957', '1.31268215', '0.22620192', '2.86869693']
CFI = 2.32619 Paras = ['0.68816388', '1.32275057', '3.42512965', '1.32275057', '0.22620218', '2.86869073']
CFI = 2.32619 Paras = ['0.68816674', '1.33275402', '3.43513298', '1.33275390', '0.22620130', '2.86869693']
CFI = 2.32619 Paras = ['0.68816376', '1.34273124', '3.44511008', '1.34273124', '0.22620016', '2.86869025']
CFI = 2.32619 Paras = ['0.68816674', '1.35271645', '3.45509529', '1.35271645', '0.22619914', '2.86869645']
CFI = 2.32619 Paras = ['0.68816376', '1.36273146', '3.46510983', '1.36273146', '0.22620335', '2.86869049']
CFI = 2.32619 Paras = ['0.68816692', '1.37275279', '3.47513175', '1.37275279', '0.22620280', '2.86869717']
CFI = 2.32619 Paras = ['0.68816310', '1.38275385', '3.48513293', '1.38275385', '0.22620280', '2.86868906']
CFI = 2.32619 Paras = ['0.68816680', '1.39275396', '3.49513292', '1.39275396', '0.22620203', '2.86869693']
CFI = 2.32619 Paras = ['0.68816364', '1.40253174', '3.50490594', '1.40253186', '0.22620223', '2.86868978']
CFI = 2.32619 Paras = ['0.68816656', '1.41274369', '3.51512218', '1.41274369', '0.22620058', '2.86869621']
CFI = 2.32619 Paras = ['0.68816340', '1.42266548', '3.52504253', '1.42266548', '0.22620225', '2.86868978']
CFI = 2.32619 Paras = ['0.68816650', '1.43274987', '3.53512859', '1.43274999', '0.22620113', '2.86869597']
CFI = 2.32619 Paras = ['0.68816358', '1.44275320', '3.54513216', '1.44275320', '0.22620362', '2.86869049']
CFI = 2.32619 Paras = ['0.68816650', '1.45275187', '3.55513072', '1.45275187', '0.22620250', '2.86869645']
CFI = 2.32619 Paras = ['0.68816364', '1.46275389', '3.56513333', '1.46275389', '0.22620115', '2.86869001']
CFI = 2.32619 Paras = ['0.68816686', '1.47274387', '3.57512283', '1.47274387', '0.22620200', '2.86869693']
CFI = 2.32619 Paras = ['0.68816298', '1.48268342', '3.58506107', '1.48268342', '0.22620115', '2.86868858']
CFI = 2.32619 Paras = ['0.68816680', '1.49275088', '3.59513021', '1.49275100', '0.22620039', '2.86869669']
CFI = 2.32619 Paras = ['0.68816352', '1.50271130', '3.60508919', '1.50271130', '0.22620280', '2.86869001']
CFI = 2.32619 Paras = ['0.68816650', '1.51273382', '3.61511278', '1.51273406', '0.22620131', '2.86869621']
CFI = 2.32619 Paras = ['0.68816370', '1.52275324', '3.62513256', '1.52275324', '0.22620042', '2.86869025']
CFI = 2.32619 Paras = ['0.68816650', '1.53275418', '3.63513374', '1.53275418', '0.22620060', '2.86869597']
CFI = 2.32619 Paras = ['0.68816346', '1.54275405', '3.64513373', '1.54275405', '0.22620082', '2.86868978']
CFI = 2.32619 Paras = ['0.68816686', '1.55275416', '3.65513301', '1.55275393', '0.22620150', '2.86869693']
CFI = 2.32619 Paras = ['0.68816364', '1.56275392', '3.66513324', '1.56275380', '0.22620122', '2.86869025']
CFI = 2.32619 Paras = ['0.68816650', '1.57275379', '3.67513323', '1.57275367', '0.22620139', '2.86869621']
CFI = 2.32619 Paras = ['0.68816376', '1.58270919', '3.68508744', '1.58270955', '0.22620155', '2.86869025']
CFI = 2.32619 Paras = ['0.68816692', '1.59270978', '3.69508791', '1.59270990', '0.22620121', '2.86869717']
CFI = 2.32619 Paras = ['0.68816376', '1.60275221', '3.70513153', '1.60275209', '0.22620055', '2.86869025']
CFI = 2.32619 Paras = ['0.68816680', '1.61271715', '3.71509552', '1.61271703', '0.22620112', '2.86869645']
CFI = 2.32619 Paras = ['0.68816364', '1.62275219', '3.72513127', '1.62275219', '0.22620159', '2.86869025']
CFI = 2.32619 Paras = ['0.68816644', '1.63275361', '3.73513293', '1.63275361', '0.22620293', '2.86869645']
CFI = 2.32619 Paras = ['0.68816358', '1.64275348', '3.74513292', '1.64275348', '0.22620183', '2.86869049']
CFI = 2.32619 Paras = ['0.68816680', '1.65275180', '3.75513077', '1.65275192', '0.22620311', '2.86869717']
CFI = 2.32619 Paras = ['0.68816352', '1.66268384', '3.76506114', '1.66268384', '0.22620316', '2.86869001']
CFI = 2.32619 Paras = ['0.68816698', '1.67271912', '3.77509689', '1.67271924', '0.22620365', '2.86869740']
CFI = 2.32619 Paras = ['0.68816340', '1.68275225', '3.78513122', '1.68275237', '0.22620241', '2.86868978']
CFI = 2.32619 Paras = ['0.68816698', '1.69275403', '3.79513311', '1.69275367', '0.22620225', '2.86869693']
CFI = 2.32619 Paras = ['0.68816364', '1.70260119', '3.80497694', '1.70260108', '0.22620030', '2.86868954']
CFI = 2.32619 Paras = ['0.68816638', '1.71274698', '3.81512570', '1.71274686', '0.22620161', '2.86869597']
CFI = 2.32619 Paras = ['0.68816364', '1.72272778', '3.82510614', '1.72272766', '0.22620371', '2.86869025']
CFI = 2.32619 Paras = ['0.68816674', '1.73275280', '3.83513188', '1.73275280', '0.22620252', '2.86869669']
CFI = 2.32619 Paras = ['0.68816376', '1.74275374', '3.84513307', '1.74275374', '0.22620238', '2.86869049']
CFI = 2.32619 Paras = ['0.68816656', '1.75273848', '3.85511708', '1.75273836', '0.22620347', '2.86869669']
CFI = 2.32619 Paras = ['0.68816358', '1.76275086', '3.86513042', '1.76275098', '0.22620094', '2.86869001']
CFI = 2.32619 Paras = ['0.68816680', '1.77275336', '3.87513256', '1.77275372', '0.22620314', '2.86869693']
CFI = 2.32619 Paras = ['0.68816322', '1.78264201', '3.88501859', '1.78264213', '0.22620185', '2.86868906']
CFI = 2.32619 Paras = ['0.68816692', '1.79274869', '3.89512753', '1.79274869', '0.22620113', '2.86869717']
CFI = 2.32619 Paras = ['0.68816328', '1.80275321', '3.90513229', '1.80275321', '0.22620395', '2.86868978']
CFI = 2.32619 Paras = ['0.68816686', '1.81263328', '3.91500974', '1.81263328', '0.22620118', '2.86869693']
CFI = 2.32619 Paras = ['0.68816376', '1.82274806', '3.92512679', '1.82274806', '0.22620286', '2.86869049']
CFI = 2.32619 Paras = ['0.68816680', '1.83275390', '3.93513274', '1.83275390', '0.22620218', '2.86869717']
CFI = 2.32619 Paras = ['0.68816382', '1.84259081', '3.94496608', '1.84259081', '0.22620131', '2.86869049']
CFI = 2.32619 Paras = ['0.68816686', '1.85260463', '3.95497990', '1.85260463', '0.22620007', '2.86869669']
CFI = 2.32619 Paras = ['0.68816388', '1.86271513', '3.96509290', '1.86271513', '0.22620375', '2.86869073']
CFI = 2.32619 Paras = ['0.68816644', '1.87266409', '3.97504091', '1.87266397', '0.22620307', '2.86869621']
CFI = 2.32619 Paras = ['0.68816423', '1.88270700', '3.98508477', '1.88270688', '0.22620223', '2.86869144']
CFI = 2.32619 Paras = ['0.68816656', '1.89270151', '3.99507928', '1.89270163', '0.22620231', '2.86869645']
CFI = 2.32619 Paras = ['0.68816364', '1.90256703', '4.00494146', '1.90256703', '0.22620378', '2.86869001']
CFI = 2.32619 Paras = ['0.68816650', '1.91273510', '4.01511335', '1.91273522', '0.22620130', '2.86869621']
CFI = 2.32619 Paras = ['0.68816370', '1.92271030', '4.02508831', '1.92271018', '0.22620428', '2.86869049']
CFI = 2.32619 Paras = ['0.68816656', '1.93275201', '4.03513098', '1.93275177', '0.22620229', '2.86869621']
CFI = 2.32619 Paras = ['0.68816340', '1.94265175', '4.04502821', '1.94265151', '0.22620293', '2.86868954']
CFI = 2.32619 Paras = ['0.68816656', '1.95274901', '4.05512810', '1.95274901', '0.22620162', '2.86869645']
CFI = 2.32619 Paras = ['0.68816364', '1.96271718', '4.06509590', '1.96271718', '0.22620140', '2.86869025']
CFI = 2.32619 Paras = ['0.68816686', '1.97269940', '4.07507753', '1.97269940', '0.22619946', '2.86869669']
CFI = 2.32619 Paras = ['0.68816388', '1.98275101', '4.08513021', '1.98275089', '0.22620159', '2.86869049']
CFI = 2.32619 Paras = ['0.68816656', '1.99275172', '4.09513140', '1.99275184', '0.22620028', '2.86869621']
CFI = 2.32619 Paras = ['0.68816346', '2.00264812', '4.10502434', '2.00264812', '0.22620377', '2.86868978']
CFI = 2.32619 Paras = ['0.68816674', '2.01264858', '4.11502457', '2.01264858', '0.22620325', '2.86869693']
CFI = 2.32619 Paras = ['0.68816376', '2.02274895', '4.12512779', '2.02274895', '0.22620170', '2.86869097']
CFI = 2.32619 Paras = ['0.68816638', '2.03275275', '4.13513231', '2.03275275', '0.22620347', '2.86869574']
CFI = 2.32619 Paras = ['0.68816358', '2.04275322', '4.14513254', '2.04275322', '0.22620121', '2.86869001']
CFI = 2.32619 Paras = ['0.68816674', '2.05274367', '4.15512228', '2.05274367', '0.22620274', '2.86869693']
CFI = 2.32619 Paras = ['0.68816358', '2.06275368', '4.16513300', '2.06275368', '0.22620068', '2.86868978']
CFI = 2.32619 Paras = ['0.68816692', '2.07266092', '4.17503834', '2.07266092', '0.22620037', '2.86869693']
CFI = 2.32619 Paras = ['0.68816364', '2.08271790', '4.18509626', '2.08271766', '0.22620206', '2.86869049']
CFI = 2.32619 Paras = ['0.68816644', '2.09275198', '4.19513035', '2.09275150', '0.22620085', '2.86869597']
CFI = 2.32619 Paras = ['0.68816358', '2.10270381', '4.20508194', '2.10270381', '0.22620070', '2.86868978']
CFI = 2.32619 Paras = ['0.68816650', '2.11273098', '4.21510935', '2.11273098', '0.22620317', '2.86869645']
CFI = 2.32619 Paras = ['0.68816376', '2.12260270', '4.22497845', '2.12260270', '0.22620180', '2.86869049']
CFI = 2.32619 Paras = ['0.68816650', '2.13274741', '4.23512602', '2.13274717', '0.22620036', '2.86869621']
CFI = 2.32619 Paras = ['0.68816358', '2.14268088', '4.24505854', '2.14268088', '0.22620149', '2.86868978']
CFI = 2.32619 Paras = ['0.68816656', '2.15275025', '4.25512934', '2.15275025', '0.22620383', '2.86869621']
CFI = 2.32619 Paras = ['0.68816382', '2.16265440', '4.26503134', '2.16265392', '0.22620103', '2.86869025']
CFI = 2.32619 Paras = ['0.68816692', '2.17264271', '4.27501869', '2.17264247', '0.22620249', '2.86869693']
CFI = 2.32619 Paras = ['0.68816376', '2.18274856', '4.28512764', '2.18274856', '0.22620206', '2.86869049']
CFI = 2.32619 Paras = ['0.68816656', '2.19266367', '4.29504061', '2.19266343', '0.22620128', '2.86869621']
CFI = 2.32619 Paras = ['0.68816394', '2.20270729', '4.30508566', '2.20270753', '0.22620170', '2.86869073']
CFI = 2.32619 Paras = ['0.68816692', '2.21266389', '4.31504059', '2.21266389', '0.22620268', '2.86869740']
CFI = 2.32619 Paras = ['0.68816376', '2.22275019', '4.32512951', '2.22275019', '0.22620060', '2.86869025']
CFI = 2.32619 Paras = ['0.68816662', '2.23275399', '4.33513355', '2.23275375', '0.22619992', '2.86869621']
CFI = 2.32619 Paras = ['0.68816328', '2.24264574', '4.34502268', '2.24264574', '0.22620110', '2.86868906']
CFI = 2.32619 Paras = ['0.68816662', '2.25270081', '4.35507870', '2.25270081', '0.22620167', '2.86869645']
CFI = 2.32619 Paras = ['0.68816400', '2.26275110', '4.36513042', '2.26275134', '0.22620177', '2.86869097']
CFI = 2.32619 Paras = ['0.68816662', '2.27275395', '4.37513304', '2.27275372', '0.22620226', '2.86869669']
CFI = 2.32619 Paras = ['0.68816358', '2.28275371', '4.38513279', '2.28275371', '0.22620143', '2.86868978']
CFI = 2.32619 Paras = ['0.68816692', '2.29275417', '4.39513350', '2.29275417', '0.22620033', '2.86869669']
CFI = 2.32619 Paras = ['0.68816358', '2.30275154', '4.40513134', '2.30275154', '0.22620112', '2.86869001']
CFI = 2.32619 Paras = ['0.68816692', '2.31275392', '4.41513300', '2.31275392', '0.22620091', '2.86869669']
CFI = 2.32619 Paras = ['0.68816334', '2.32275391', '4.42513323', '2.32275391', '0.22620299', '2.86868930']
CFI = 2.32619 Paras = ['0.68816686', '2.33275414', '4.43513346', '2.33275390', '0.22620176', '2.86869693']
CFI = 2.32619 Paras = ['0.68816364', '2.34272242', '4.44510126', '2.34272242', '0.22620271', '2.86869025']
CFI = 2.32619 Paras = ['0.68816686', '2.35272646', '4.45510578', '2.35272670', '0.22620052', '2.86869669']
CFI = 2.32619 Paras = ['0.68816394', '2.36266255', '4.46503973', '2.36266255', '0.22619918', '2.86869049']
